accrued_interest,asset_id,book_value,category,classification,coupon_rate,currency,current_rate,duration_years,end_of_period_balance,face_value,fair_value,institution,internal_rating,lgd,maturity_date,npl_flag,origination_date,pd_annualized,principal_outstanding,rate,rate_index,rate_type,rating,segment,spread_bps,type
252.37,L0127,,loan,,,USD,3.69,,252365.86,,,,8,0.21,2032-11-03,0,2021-03-04,0.78,252365.86,,Treasury,variable,,mortgage,204,
420.52,L0128,,loan,,,USD,3.02,,420523.21,,,,6,0.59,2033-01-21,0,2020-06-14,0.56,420523.21,,Prime,fixed,,SME,150,
473.81,L0129,,loan,,,USD,5.32,,473811.75,,,,1,0.43,2027-11-21,1,2023-11-04,0.77,473811.75,,SOFR,variable,,mortgage,110,
469.72,L0130,,loan,,,USD,5.39,,469724.77,,,,10,0.58,2035-04-14,0,2025-09-14,2.79,469724.77,,Treasury,variable,,mortgage,333,
368.53,L0131,,loan,,,USD,4.86,,368527.66,,,,4,0.37,2034-01-28,0,2016-04-06,1.53,368527.66,,Prime,variable,,auto,251,
137.89,L0132,,loan,,,USD,4.48,,137889.82,,,,10,0.42,2032-01-12,0,2017-07-18,2.18,137889.82,,Prime,variable,,mortgage,249,
353.94,L0133,,loan,,,USD,5.02,,353944.34,,,,2,0.55,2034-01-18,0,2022-02-16,2.50,353944.34,,Prime,fixed,,CRE,169,
410.53,L0134,,loan,,,USD,4.44,,410531.71,,,,5,0.10,2029-09-01,0,2017-05-09,1.21,410531.71,,Prime,variable,,SME,151,
150.14,L0135,,loan,,,USD,5.59,,150144.32,,,,9,0.22,2034-08-27,0,2022-05-14,2.04,150144.32,,Prime,fixed,,SME,213,
404.39,L0136,,loan,,,USD,4.82,,404389.40,,,,10,0.28,2030-03-12,0,2020-06-11,0.74,404389.40,,Prime,fixed,,auto,140,
125.40,L0137,,loan,,,USD,6.53,,125402.71,,,,10,0.48,2032-03-01,0,2017-04-06,2.43,125402.71,,Treasury,fixed,,auto,292,
304.43,L0138,,loan,,,USD,6.33,,304427.14,,,,9,0.28,2034-10-11,0,2025-02-11,2.76,304427.14,,Treasury,fixed,,mortgage,349,
335.25,L0139,,loan,,,USD,4.12,,335249.67,,,,8,0.32,2032-09-20,0,2020-04-28,2.07,335249.67,,Treasury,fixed,,CRE,164,
310.34,L0140,,loan,,,USD,5.02,,310343.84,,,,1,0.33,2031-07-18,1,2018-04-06,0.27,310343.84,,Treasury,variable,,SME,312,
279.00,L0141,,loan,,,USD,6.05,,278997.33,,,,1,0.21,2035-04-01,0,2021-12-10,0.31,278997.33,,Treasury,fixed,,SME,210,
511.62,L0142,,loan,,,USD,4.81,,511622.93,,,,7,0.19,2031-06-21,1,2021-08-10,0.49,511622.93,,Prime,variable,,SME,321,
321.86,L0143,,loan,,,USD,4.76,,321863.77,,,,7,0.54,2034-04-22,0,2024-06-23,0.49,321863.77,,Treasury,fixed,,consumer,121,
187.07,L0144,,loan,,,USD,5.94,,187071.10,,,,4,0.11,2035-05-14,1,2021-01-18,0.97,187071.10,,SOFR,variable,,CRE,194,
197.24,L0145,,loan,,,USD,4.54,,197241.93,,,,1,0.57,2028-12-31,0,2025-06-12,2.20,197241.93,,Treasury,variable,,mortgage,257,
349.11,L0146,,loan,,,USD,3.55,,349111.33,,,,8,0.12,2033-07-18,0,2023-01-23,1.83,349111.33,,Prime,fixed,,mortgage,185,
405.67,L0147,,loan,,,USD,5.67,,405669.95,,,,10,0.13,2035-08-03,0,2023-03-07,1.56,405669.95,,Treasury,variable,,consumer,191,
390.49,L0148,,loan,,,USD,4.42,,390490.01,,,,9,0.59,2028-06-28,0,2022-06-09,1.61,390490.01,,SOFR,variable,,SME,201,
523.95,L0149,,loan,,,USD,6.15,,523945.55,,,,7,0.59,2027-05-31,1,2016-12-29,2.83,523945.55,,Treasury,variable,,SME,298,
460.24,L0150,,loan,,,USD,3.96,,460239.46,,,,1,0.48,2028-12-12,1,2022-06-08,1.47,460239.46,,Prime,fixed,,auto,156,
324.12,L0151,,loan,,,USD,6.10,,324119.96,,,,6,0.29,2028-05-22,0,2018-07-22,0.84,324119.96,,Prime,fixed,,consumer,293,
482.69,L0152,,loan,,,USD,3.42,,482691.04,,,,4,0.44,2031-02-11,0,2023-09-12,1.85,482691.04,,Prime,fixed,,mortgage,177,
380.19,L0153,,loan,,,USD,6.72,,380190.89,,,,10,0.21,2027-01-21,0,2017-06-06,0.65,380190.89,,SOFR,variable,,mortgage,235,
261.47,L0154,,loan,,,USD,7.08,,261471.56,,,,5,0.26,2033-01-28,0,2019-10-28,0.92,261471.56,,Prime,variable,,SME,283,
227.72,L0155,,loan,,,USD,7.57,,227719.63,,,,6,0.15,2032-02-10,0,2017-04-07,2.95,227719.63,,SOFR,variable,,SME,342,
530.54,L0156,,loan,,,USD,4.55,,530538.78,,,,3,0.47,2029-05-14,0,2019-04-04,0.15,530538.78,,Prime,variable,,CRE,291,
242.41,L0157,,loan,,,USD,4.67,,242410.94,,,,8,0.52,2033-04-10,1,2022-12-02,1.55,242410.94,,Treasury,variable,,consumer,248,
317.94,L0158,,loan,,,USD,5.36,,317936.48,,,,1,0.18,2030-11-01,0,2023-09-29,2.19,317936.48,,Treasury,fixed,,SME,166,
449.62,L0159,,loan,,,USD,4.83,,449620.69,,,,4,0.17,2031-07-06,1,2017-11-16,1.93,449620.69,,SOFR,fixed,,mortgage,104,
370.25,L0160,,loan,,,USD,4.39,,370248.93,,,,1,0.43,2034-01-14,1,2018-05-31,1.89,370248.93,,SOFR,variable,,SME,271,
413.46,L0161,,loan,,,USD,2.41,,413461.41,,,,2,0.24,2034-12-26,0,2020-03-04,2.93,413461.41,,SOFR,variable,,mortgage,86,
267.66,L0162,,loan,,,USD,5.43,,267663.95,,,,6,0.41,2029-01-14,1,2022-10-23,0.83,267663.95,,SOFR,variable,,consumer,348,
337.05,L0163,,loan,,,USD,6.35,,337053.42,,,,7,0.21,2034-09-14,1,2018-06-23,2.08,337053.42,,SOFR,fixed,,mortgage,315,
262.66,L0164,,loan,,,USD,5.89,,262662.22,,,,6,0.42,2027-07-07,0,2020-03-14,2.14,262662.22,,Treasury,variable,,mortgage,273,
334.08,L0165,,loan,,,USD,7.76,,334084.42,,,,2,0.21,2029-06-18,0,2020-06-22,2.62,334084.42,,SOFR,variable,,CRE,350,
275.76,L0166,,loan,,,USD,3.00,,275761.82,,,,5,0.11,2030-05-31,0,2017-05-15,0.70,275761.82,,SOFR,variable,,auto,96,
233.37,L0167,,loan,,,USD,5.23,,233369.41,,,,2,0.44,2031-04-01,0,2017-05-02,1.67,233369.41,,Treasury,fixed,,SME,203,
242.73,L0168,,loan,,,USD,2.86,,242731.83,,,,1,0.52,2029-06-27,0,2019-02-16,1.09,242731.83,,Prime,variable,,CRE,107,
381.81,L0169,,loan,,,USD,6.07,,381808.15,,,,10,0.38,2030-11-16,0,2018-03-08,1.19,381808.15,,SOFR,variable,,auto,310,
506.58,L0170,,loan,,,USD,5.70,,506583.75,,,,6,0.23,2027-10-22,0,2017-07-06,1.20,506583.75,,Prime,variable,,auto,206,
364.07,L0171,,loan,,,USD,2.78,,364071.22,,,,7,0.32,2030-05-05,1,2024-04-27,2.31,364071.22,,SOFR,fixed,,mortgage,126,
346.86,L0172,,loan,,,USD,6.14,,346861.70,,,,1,0.14,2027-03-07,0,2019-02-06,1.71,346861.70,,Prime,variable,,CRE,342,
203.80,L0173,,loan,,,USD,5.57,,203797.91,,,,7,0.46,2027-11-01,0,2019-05-24,1.72,203797.91,,Treasury,fixed,,auto,291,
225.90,L0174,,loan,,,USD,3.82,,225900.80,,,,8,0.35,2029-11-23,0,2022-09-17,0.28,225900.80,,Prime,variable,,SME,151,
298.44,L0175,,loan,,,USD,4.90,,298437.51,,,,3,0.46,2029-08-26,0,2023-08-13,1.54,298437.51,,SOFR,variable,,CRE,264,
363.80,L0176,,loan,,,USD,5.18,,363801.06,,,,10,0.52,2030-08-11,0,2020-11-13,1.20,363801.06,,Prime,variable,,consumer,83,
225.45,L0177,,loan,,,USD,4.79,,225447.26,,,,8,0.20,2034-09-06,0,2022-03-24,1.01,225447.26,,Treasury,variable,,SME,233,
329.05,L0178,,loan,,,USD,5.09,,329050.01,,,,9,0.30,2035-09-12,0,2023-07-26,0.43,329050.01,,Treasury,fixed,,CRE,246,
432.64,L0179,,loan,,,USD,7.49,,432644.02,,,,8,0.32,2029-03-27,0,2016-08-15,0.94,432644.02,,Treasury,variable,,mortgage,316,
316.78,L0180,,loan,,,USD,4.58,,316781.91,,,,8,0.18,2034-04-09,1,2024-12-23,1.33,316781.91,,Treasury,variable,,SME,235,
127.42,L0181,,loan,,,USD,7.66,,127420.15,,,,4,0.31,2034-08-23,0,2017-12-09,0.21,127420.15,,SOFR,fixed,,consumer,339,
249.14,L0182,,loan,,,USD,5.09,,249137.36,,,,2,0.38,2027-05-20,0,2017-05-14,1.97,249137.36,,Prime,variable,,SME,165,
297.55,L0183,,loan,,,USD,3.58,,297546.80,,,,7,0.47,2032-08-11,1,2023-04-30,1.72,297546.80,,Prime,variable,,CRE,130,
226.76,L0184,,loan,,,USD,5.31,,226757.29,,,,5,0.34,2027-02-28,0,2024-07-03,0.96,226757.29,,Prime,fixed,,mortgage,336,
411.60,L0185,,loan,,,USD,6.98,,411603.33,,,,2,0.34,2032-09-23,0,2017-09-16,1.48,411603.33,,Prime,variable,,SME,313,
282.00,L0186,,loan,,,USD,4.95,,281999.66,,,,4,0.11,2028-03-05,0,2018-03-19,1.09,281999.66,,Treasury,fixed,,mortgage,102,
363.05,L0187,,loan,,,USD,4.10,,363052.61,,,,7,0.58,2031-09-01,1,2018-09-29,0.77,363052.61,,SOFR,fixed,,SME,161,
270.90,L0188,,loan,,,USD,4.65,,270898.46,,,,5,0.32,2029-02-05,0,2017-11-26,1.35,270898.46,,SOFR,fixed,,mortgage,94,
557.79,L0189,,loan,,,USD,5.22,,557787.31,,,,8,0.19,2032-11-27,0,2024-07-12,1.05,557787.31,,Treasury,variable,,SME,132,
361.70,L0190,,loan,,,USD,6.11,,361697.21,,,,5,0.16,2033-06-20,0,2018-11-19,1.12,361697.21,,Treasury,fixed,,SME,278,
274.44,L0191,,loan,,,USD,3.92,,274437.20,,,,10,0.25,2029-07-24,0,2020-01-29,0.63,274437.20,,Prime,variable,,auto,148,
319.23,L0192,,loan,,,USD,5.53,,319229.82,,,,5,0.42,2032-05-05,0,2019-08-02,2.11,319229.82,,Prime,fixed,,auto,276,
254.58,L0193,,loan,,,USD,4.19,,254580.69,,,,7,0.41,2031-12-11,1,2020-05-16,2.61,254580.69,,SOFR,fixed,,mortgage,175,
221.15,L0194,,loan,,,USD,6.44,,221147.10,,,,5,0.46,2031-07-19,0,2024-11-17,1.39,221147.10,,SOFR,fixed,,auto,289,
436.79,L0195,,loan,,,USD,4.37,,436793.03,,,,2,0.18,2030-02-14,0,2019-08-23,1.43,436793.03,,Treasury,fixed,,SME,220,
258.50,L0196,,loan,,,USD,5.80,,258502.53,,,,4,0.12,2035-05-16,0,2023-05-10,2.19,258502.53,,SOFR,variable,,CRE,267,
446.28,L0197,,loan,,,USD,3.81,,446283.17,,,,10,0.53,2030-10-17,0,2017-02-09,0.35,446283.17,,SOFR,fixed,,mortgage,96,
537.68,L0198,,loan,,,USD,4.99,,537681.92,,,,5,0.49,2028-06-12,0,2019-05-31,2.46,537681.92,,Treasury,variable,,mortgage,299,
423.12,L0199,,loan,,,USD,6.89,,423117.80,,,,7,0.24,2030-03-02,0,2018-03-10,0.88,423117.80,,SOFR,fixed,,CRE,245,
204.01,L0200,,loan,,,USD,6.31,,204010.82,,,,7,0.45,2028-04-22,1,2017-10-30,0.48,204010.82,,SOFR,variable,,auto,221,
