amount,balance,beta_to_policy_rate,branch_id,category,collateral_type,coupon_rate,currency,customer_type,decay_half_life_days,end_of_period_balance,haircut,issuance_date,issue_date,liability_id,maturity_date,modeled_life_years,nmd_flag,notional,open_date,product,rate,runoff_rate_stress,stability_segment,tier,type
,199217.32,0.15,45,deposit,,,USD,corp,113,-199217.32,,,,D0192,,1.75,1,,2022-12-26,savings,2.05,4.28,stable,,
,201877.00,0.11,50,deposit,,,USD,retail,155,-201877.00,,,,D0193,,6.62,1,,2025-03-15,demand,2.62,7.62,volatile,,
,119121.57,0.39,16,deposit,,,USD,retail,176,-119121.57,,,,D0194,,4.93,1,,2022-05-03,demand,1.39,13.40,volatile,,
,265228.65,0.00,34,deposit,,,USD,retail,0,-265228.65,,,,D0195,2028-06-14,0.00,0,,2024-05-22,time,2.58,0.00,,,
,139375.44,0.52,18,deposit,,,USD,corp,423,-139375.44,,,,D0196,,6.19,1,,2016-01-15,demand,2.93,7.54,volatile,,
,137635.90,0.00,38,deposit,,,USD,retail,0,-137635.90,,,,D0197,2026-09-22,0.00,0,,2019-10-05,time,1.92,0.00,,,
,249593.14,0.00,35,deposit,,,USD,corp,0,-249593.14,,,,D0198,2028-05-28,0.00,0,,2018-08-19,time,2.09,0.00,,,
,271573.06,0.49,1,deposit,,,USD,SME,542,-271573.06,,,,D0199,,2.85,1,,2024-01-23,savings,1.08,6.77,stable,,
,231562.67,0.31,20,deposit,,,USD,SME,98,-231562.67,,,,D0200,,5.13,1,,2017-05-02,savings,0.00,7.89,volatile,,
,130006.99,0.49,26,deposit,,,USD,SME,651,-130006.99,,,,D0201,,3.24,1,,2019-07-09,savings,0.03,6.76,stable,,
,243677.58,0.19,45,deposit,,,USD,corp,522,-243677.58,,,,D0202,,4.75,1,,2016-11-01,savings,0.87,8.23,stable,,
,109512.70,0.00,18,deposit,,,USD,corp,0,-109512.70,,,,D0203,2027-07-26,0.00,0,,2017-06-22,time,2.40,0.00,,,
,265106.74,0.21,13,deposit,,,USD,SME,556,-265106.74,,,,D0204,,4.71,1,,2018-10-28,demand,1.45,4.81,stable,,
,111279.17,0.15,1,deposit,,,USD,corp,194,-111279.17,,,,D0205,,2.69,1,,2020-11-21,demand,1.12,2.75,stable,,
,117402.72,0.17,45,deposit,,,USD,SME,520,-117402.72,,,,D0206,,2.87,1,,2021-08-22,demand,0.81,12.19,volatile,,
,175196.13,0.08,25,deposit,,,USD,SME,491,-175196.13,,,,D0207,,1.43,1,,2023-08-26,demand,2.77,7.58,stable,,
,276290.77,0.00,50,deposit,,,USD,SME,0,-276290.77,,,,D0208,2026-08-26,0.00,0,,2023-01-06,time,2.90,0.00,,,
,141570.82,0.00,30,deposit,,,USD,retail,0,-141570.82,,,,D0209,2027-05-10,0.00,0,,2025-06-06,time,3.41,0.00,,,
,283581.50,0.00,31,deposit,,,USD,retail,0,-283581.50,,,,D0210,2026-06-30,0.00,0,,2018-05-04,time,2.57,0.00,,,
,115472.98,0.40,31,deposit,,,USD,SME,133,-115472.98,,,,D0211,,5.47,1,,2024-06-08,savings,1.36,8.69,stable,,
,255006.63,0.53,1,deposit,,,USD,SME,313,-255006.63,,,,D0212,,6.84,1,,2020-12-08,savings,2.23,4.30,stable,,
,238814.28,0.00,16,deposit,,,USD,SME,0,-238814.28,,,,D0213,2027-07-08,0.00,0,,2024-06-18,time,0.59,0.00,,,
,228215.48,0.00,31,deposit,,,USD,corp,0,-228215.48,,,,D0214,2026-03-16,0.00,0,,2017-01-07,time,0.03,0.00,,,
,149850.01,0.19,4,deposit,,,USD,corp,601,-149850.01,,,,D0215,,1.55,1,,2017-04-15,savings,2.41,9.66,stable,,
,154166.03,0.00,9,deposit,,,USD,retail,0,-154166.03,,,,D0216,2026-10-31,0.00,0,,2019-10-17,time,0.21,0.00,,,
,275496.23,0.00,49,deposit,,,USD,corp,0,-275496.23,,,,D0217,2027-09-29,0.00,0,,2016-12-18,time,1.71,0.00,,,
,167191.91,0.00,45,deposit,,,USD,retail,0,-167191.91,,,,D0218,2028-06-05,0.00,0,,2023-08-23,time,1.22,0.00,,,
,259165.19,0.32,37,deposit,,,USD,retail,538,-259165.19,,,,D0219,,4.35,1,,2020-04-23,savings,1.32,8.60,stable,,
,212918.64,0.20,10,deposit,,,USD,corp,703,-212918.64,,,,D0220,,6.49,1,,2025-01-12,savings,0.65,8.76,volatile,,
,130746.19,0.00,1,deposit,,,USD,SME,0,-130746.19,,,,D0221,2027-06-12,0.00,0,,2021-09-09,time,1.57,0.00,,,
,231418.23,0.54,43,deposit,,,USD,retail,462,-231418.23,,,,D0222,,5.66,1,,2017-09-20,savings,2.72,4.34,stable,,
,118618.69,0.47,8,deposit,,,USD,SME,247,-118618.69,,,,D0223,,4.68,1,,2018-08-14,demand,3.39,5.52,volatile,,
,149608.25,0.15,37,deposit,,,USD,retail,122,-149608.25,,,,D0224,,2.21,1,,2024-09-12,demand,0.34,7.80,stable,,
,202784.31,0.00,40,deposit,,,USD,corp,0,-202784.31,,,,D0225,2028-02-23,0.00,0,,2020-04-24,time,2.25,0.00,,,
,117393.10,0.17,6,deposit,,,USD,SME,162,-117393.10,,,,D0226,,1.08,1,,2018-06-15,demand,2.45,13.89,volatile,,
,181911.24,0.50,5,deposit,,,USD,corp,149,-181911.24,,,,D0227,,5.94,1,,2025-05-08,savings,1.64,4.72,volatile,,
,268433.05,0.11,16,deposit,,,USD,corp,326,-268433.05,,,,D0228,,4.19,1,,2019-11-27,demand,2.92,3.65,stable,,
,266441.32,0.00,27,deposit,,,USD,corp,0,-266441.32,,,,D0229,2026-12-21,0.00,0,,2017-05-28,time,2.00,0.00,,,
,249629.22,0.00,43,deposit,,,USD,corp,0,-249629.22,,,,D0230,2027-12-23,0.00,0,,2020-08-30,time,2.61,0.00,,,
,165513.09,0.35,23,deposit,,,USD,SME,606,-165513.09,,,,D0231,,3.03,1,,2019-01-29,demand,1.49,3.21,stable,,
,124745.87,0.47,35,deposit,,,USD,corp,530,-124745.87,,,,D0232,,5.96,1,,2023-02-09,savings,3.16,5.53,volatile,,
,192056.38,0.30,2,deposit,,,USD,corp,496,-192056.38,,,,D0233,,1.00,1,,2022-08-13,savings,0.75,1.49,volatile,,
,176094.46,0.59,18,deposit,,,USD,corp,309,-176094.46,,,,D0234,,6.13,1,,2016-08-03,demand,1.81,1.30,volatile,,
,162041.30,0.00,10,deposit,,,USD,corp,0,-162041.30,,,,D0235,2028-11-01,0.00,0,,2019-05-29,time,3.22,0.00,,,
,251624.71,0.13,6,deposit,,,USD,SME,465,-251624.71,,,,D0236,,6.34,1,,2022-12-07,savings,0.33,4.50,stable,,
,243458.76,0.00,21,deposit,,,USD,corp,0,-243458.76,,,,D0237,2027-03-10,0.00,0,,2024-12-09,time,2.00,0.00,,,
,153133.87,0.38,50,deposit,,,USD,retail,397,-153133.87,,,,D0238,,1.22,1,,2021-07-12,savings,2.78,12.32,stable,,
,175977.10,0.28,1,deposit,,,USD,corp,213,-175977.10,,,,D0239,,6.22,1,,2018-06-27,savings,0.20,4.17,volatile,,
,285674.38,0.34,15,deposit,,,USD,corp,416,-285674.38,,,,D0240,,4.24,1,,2020-03-04,demand,2.22,3.09,volatile,,
,290386.87,0.17,31,deposit,,,USD,retail,386,-290386.87,,,,D0241,,5.72,1,,2022-01-14,savings,0.54,3.07,stable,,
,250057.85,0.00,6,deposit,,,USD,SME,0,-250057.85,,,,D0242,2026-03-30,0.00,0,,2021-04-30,time,2.00,0.00,,,
,242166.09,0.00,31,deposit,,,USD,retail,0,-242166.09,,,,D0243,2028-05-27,0.00,0,,2024-05-05,time,1.39,0.00,,,
,208379.29,0.36,21,deposit,,,USD,SME,626,-208379.29,,,,D0244,,2.48,1,,2017-02-04,savings,1.96,2.00,stable,,
,253708.63,0.28,50,deposit,,,USD,retail,446,-253708.63,,,,D0245,,2.14,1,,2018-06-16,demand,2.40,5.82,volatile,,
,136410.30,0.00,40,deposit,,,USD,SME,0,-136410.30,,,,D0246,2027-12-06,0.00,0,,2016-08-04,time,1.07,0.00,,,
,278502.76,0.43,4,deposit,,,USD,corp,249,-278502.76,,,,D0247,,5.55,1,,2024-07-18,demand,0.51,12.94,stable,,
,113391.42,0.24,48,deposit,,,USD,retail,203,-113391.42,,,,D0248,,2.83,1,,2022-01-31,savings,0.85,7.60,stable,,
,207468.02,0.00,36,deposit,,,USD,SME,0,-207468.02,,,,D0249,2027-02-10,0.00,0,,2019-12-09,time,1.88,0.00,,,
,224623.97,0.00,2,deposit,,,USD,corp,0,-224623.97,,,,D0250,2026-10-05,0.00,0,,2017-12-20,time,1.69,0.00,,,
,235077.65,0.08,42,deposit,,,USD,SME,295,-235077.65,,,,D0251,,5.74,1,,2025-03-18,savings,1.32,9.65,stable,,
,110789.69,0.41,25,deposit,,,USD,corp,458,-110789.69,,,,D0252,,6.19,1,,2016-01-30,savings,3.31,1.27,volatile,,
,169933.01,0.00,21,deposit,,,USD,retail,0,-169933.01,,,,D0253,2028-02-07,0.00,0,,2017-11-06,time,0.81,0.00,,,
,246976.07,0.33,34,deposit,,,USD,retail,558,-246976.07,,,,D0254,,4.36,1,,2025-05-12,demand,1.70,10.97,stable,,
,177431.27,0.06,4,deposit,,,USD,SME,450,-177431.27,,,,D0255,,3.13,1,,2020-03-08,savings,1.07,5.23,stable,,
,243187.36,0.17,25,deposit,,,USD,corp,439,-243187.36,,,,D0256,,6.38,1,,2024-10-27,demand,2.19,10.20,volatile,,
,164933.85,0.37,35,deposit,,,USD,SME,526,-164933.85,,,,D0257,,6.82,1,,2022-02-11,savings,1.82,13.74,stable,,
,146338.56,0.00,13,deposit,,,USD,corp,0,-146338.56,,,,D0258,2026-09-29,0.00,0,,2019-09-26,time,0.46,0.00,,,
,287720.45,0.00,9,deposit,,,USD,corp,0,-287720.45,,,,D0259,2027-09-13,0.00,0,,2017-11-24,time,3.02,0.00,,,
,185344.55,0.00,21,deposit,,,USD,retail,0,-185344.55,,,,D0260,2026-10-13,0.00,0,,2019-06-22,time,1.51,0.00,,,
,283734.70,0.51,27,deposit,,,USD,SME,239,-283734.70,,,,D0261,,5.36,1,,2015-12-08,demand,0.24,11.72,volatile,,
,285801.88,0.11,39,deposit,,,USD,SME,279,-285801.88,,,,D0262,,1.16,1,,2018-11-20,demand,1.06,14.80,stable,,
,134921.30,0.00,44,deposit,,,USD,retail,0,-134921.30,,,,D0263,2027-04-06,0.00,0,,2023-03-15,time,1.98,0.00,,,
,159902.22,0.00,9,deposit,,,USD,SME,0,-159902.22,,,,D0264,2026-05-31,0.00,0,,2017-01-22,time,0.09,0.00,,,
,117024.47,0.00,12,deposit,,,USD,SME,0,-117024.47,,,,D0265,2028-08-06,0.00,0,,2018-07-10,time,1.76,0.00,,,
,151114.45,0.14,27,deposit,,,USD,SME,321,-151114.45,,,,D0266,,1.19,1,,2025-08-21,savings,2.98,11.70,stable,,
,262710.50,0.15,16,deposit,,,USD,SME,539,-262710.50,,,,D0267,,6.20,1,,2022-03-01,demand,0.78,7.86,stable,,
,184116.14,0.00,47,deposit,,,USD,SME,0,-184116.14,,,,D0268,2026-03-15,0.00,0,,2017-07-24,time,1.50,0.00,,,
,271811.05,0.00,30,deposit,,,USD,SME,0,-271811.05,,,,D0269,2026-03-08,0.00,0,,2024-07-31,time,1.10,0.00,,,
,192367.50,0.59,13,deposit,,,USD,retail,130,-192367.50,,,,D0270,,4.35,1,,2018-09-25,demand,2.89,8.23,volatile,,
,244971.49,0.30,10,deposit,,,USD,corp,522,-244971.49,,,,D0271,,2.77,1,,2018-01-25,savings,1.02,13.87,volatile,,
,214596.98,0.15,27,deposit,,,USD,SME,689,-214596.98,,,,D0272,,6.63,1,,2024-04-15,demand,1.62,10.75,stable,,
,200903.93,0.37,42,deposit,,,USD,corp,296,-200903.93,,,,D0273,,6.30,1,,2022-03-04,demand,1.13,2.26,volatile,,
,224855.48,0.00,6,deposit,,,USD,retail,0,-224855.48,,,,D0274,2026-11-20,0.00,0,,2017-08-01,time,3.18,0.00,,,
,180716.54,0.00,34,deposit,,,USD,retail,0,-180716.54,,,,D0275,2028-06-27,0.00,0,,2021-09-26,time,0.40,0.00,,,
,216618.90,0.00,36,deposit,,,USD,SME,0,-216618.90,,,,D0276,2028-11-01,0.00,0,,2024-01-06,time,2.48,0.00,,,
,120365.38,0.14,20,deposit,,,USD,SME,238,-120365.38,,,,D0277,,2.07,1,,2021-02-06,savings,1.33,10.97,stable,,
,229440.54,0.11,1,deposit,,,USD,SME,224,-229440.54,,,,D0278,,6.76,1,,2017-03-22,savings,2.56,1.05,stable,,
,132801.23,0.00,39,deposit,,,USD,retail,0,-132801.23,,,,D0279,2028-10-06,0.00,0,,2016-10-01,time,1.61,0.00,,,
,162056.01,0.30,18,deposit,,,USD,corp,542,-162056.01,,,,D0280,,1.48,1,,2023-01-23,demand,3.09,9.40,volatile,,
,263693.63,0.13,39,deposit,,,USD,corp,447,-263693.63,,,,D0281,,1.22,1,,2018-04-29,demand,2.17,12.95,stable,,
,277347.68,0.28,45,deposit,,,USD,corp,272,-277347.68,,,,D0282,,1.97,1,,2018-05-24,demand,1.04,4.98,stable,,
,180462.35,0.56,49,deposit,,,USD,retail,185,-180462.35,,,,D0283,,5.61,1,,2021-07-22,savings,2.08,5.52,volatile,,
,260237.99,0.12,14,deposit,,,USD,corp,371,-260237.99,,,,D0284,,2.98,1,,2023-06-15,savings,1.50,6.79,volatile,,
,168339.88,0.00,34,deposit,,,USD,corp,0,-168339.88,,,,D0285,2026-07-31,0.00,0,,2017-08-16,time,2.14,0.00,,,
,191331.53,0.00,46,deposit,,,USD,corp,0,-191331.53,,,,D0286,2028-09-05,0.00,0,,2018-01-31,time,3.46,0.00,,,
,151503.13,0.56,32,deposit,,,USD,SME,719,-151503.13,,,,D0287,,4.38,1,,2018-09-20,savings,1.01,8.28,volatile,,
,280530.50,0.00,1,deposit,,,USD,retail,0,-280530.50,,,,D0288,2027-04-10,0.00,0,,2022-07-20,time,2.83,0.00,,,
,133783.29,0.00,48,deposit,,,USD,retail,0,-133783.29,,,,D0289,2028-07-29,0.00,0,,2016-11-14,time,0.41,0.00,,,
,249014.77,0.23,45,deposit,,,USD,retail,663,-249014.77,,,,D0290,,5.84,1,,2018-08-16,savings,2.97,3.97,stable,,
,128850.96,0.33,26,deposit,,,USD,SME,421,-128850.96,,,,D0291,,5.60,1,,2022-01-25,savings,0.99,2.59,volatile,,
,128248.46,0.23,42,deposit,,,USD,retail,436,-128248.46,,,,D0292,,6.53,1,,2020-06-26,demand,2.54,7.71,stable,,
,190751.57,0.00,22,deposit,,,USD,corp,0,-190751.57,,,,D0293,2026-11-03,0.00,0,,2020-08-22,time,0.48,0.00,,,
,166119.29,0.00,20,deposit,,,USD,corp,0,-166119.29,,,,D0294,2028-04-15,0.00,0,,2025-03-06,time,1.62,0.00,,,
,130988.97,0.00,14,deposit,,,USD,retail,0,-130988.97,,,,D0295,2027-09-27,0.00,0,,2019-10-19,time,1.98,0.00,,,
,174162.18,0.58,35,deposit,,,USD,corp,377,-174162.18,,,,D0296,,6.04,1,,2021-08-07,savings,2.02,5.75,stable,,
,249049.32,0.53,27,deposit,,,USD,SME,405,-249049.32,,,,D0297,,5.23,1,,2025-06-14,demand,2.95,5.40,stable,,
,191178.73,0.51,3,deposit,,,USD,SME,399,-191178.73,,,,D0298,,2.30,1,,2024-07-19,savings,0.30,5.23,volatile,,
,193255.96,0.49,34,deposit,,,USD,corp,602,-193255.96,,,,D0299,,1.92,1,,2020-05-20,savings,2.72,5.76,stable,,
,263978.69,0.50,30,deposit,,,USD,retail,618,-263978.69,,,,D0300,,5.06,1,,2017-09-06,demand,1.09,2.86,stable,,
,125479.27,0.56,34,deposit,,,USD,retail,698,-125479.27,,,,D0301,,6.23,1,,2025-04-16,demand,1.36,5.67,volatile,,
,255821.10,0.40,21,deposit,,,USD,corp,304,-255821.10,,,,D0302,,2.93,1,,2022-09-14,demand,2.68,3.70,volatile,,
,164334.88,0.14,14,deposit,,,USD,retail,207,-164334.88,,,,D0303,,1.09,1,,2020-01-16,savings,2.70,9.72,stable,,
,237121.17,0.57,22,deposit,,,USD,corp,380,-237121.17,,,,D0304,,4.44,1,,2022-04-25,savings,1.90,3.40,stable,,
,218691.99,0.31,12,deposit,,,USD,SME,141,-218691.99,,,,D0305,,1.64,1,,2021-01-09,demand,1.89,1.75,stable,,
,148124.45,0.00,22,deposit,,,USD,SME,0,-148124.45,,,,D0306,2028-06-20,0.00,0,,2021-10-26,time,2.47,0.00,,,
,264722.22,0.10,50,deposit,,,USD,corp,569,-264722.22,,,,D0307,,1.58,1,,2018-07-31,savings,2.86,5.35,stable,,
,136002.73,0.52,22,deposit,,,USD,corp,354,-136002.73,,,,D0308,,6.48,1,,2017-12-17,demand,1.63,6.49,stable,,
,238293.88,0.07,19,deposit,,,USD,retail,576,-238293.88,,,,D0309,,1.68,1,,2016-04-27,savings,2.76,7.70,volatile,,
,285045.96,0.00,46,deposit,,,USD,SME,0,-285045.96,,,,D0310,2026-09-06,0.00,0,,2024-08-26,time,2.69,0.00,,,
,181060.61,0.00,20,deposit,,,USD,retail,0,-181060.61,,,,D0311,2027-10-18,0.00,0,,2018-07-10,time,2.79,0.00,,,
,117942.33,0.00,40,deposit,,,USD,retail,0,-117942.33,,,,D0312,2028-03-19,0.00,0,,2021-03-03,time,1.86,0.00,,,
,163358.15,0.09,37,deposit,,,USD,SME,303,-163358.15,,,,D0313,,5.88,1,,2017-01-04,savings,0.85,9.27,volatile,,
,258091.57,0.46,21,deposit,,,USD,SME,677,-258091.57,,,,D0314,,6.02,1,,2019-02-14,demand,2.76,2.60,stable,,
,140645.16,0.58,21,deposit,,,USD,SME,161,-140645.16,,,,D0315,,4.59,1,,2019-02-13,demand,1.94,10.60,volatile,,
,282082.93,0.50,43,deposit,,,USD,retail,684,-282082.93,,,,D0316,,6.42,1,,2025-10-21,demand,1.73,9.91,stable,,
,264363.83,0.16,28,deposit,,,USD,SME,414,-264363.83,,,,D0317,,2.80,1,,2018-03-09,savings,0.52,12.12,volatile,,
,210086.68,0.39,24,deposit,,,USD,retail,612,-210086.68,,,,D0318,,3.43,1,,2022-07-05,demand,2.51,2.79,stable,,
,209026.60,0.11,26,deposit,,,USD,corp,378,-209026.60,,,,D0319,,6.19,1,,2017-12-06,demand,3.15,4.29,volatile,,
,126261.56,0.29,25,deposit,,,USD,corp,306,-126261.56,,,,D0320,,4.97,1,,2023-09-12,savings,2.19,7.65,volatile,,
,127566.86,0.21,47,deposit,,,USD,retail,218,-127566.86,,,,D0321,,1.81,1,,2025-08-18,savings,2.95,2.00,stable,,
,253315.38,0.13,28,deposit,,,USD,corp,515,-253315.38,,,,D0322,,6.16,1,,2018-01-03,demand,3.10,13.51,stable,,
,131119.19,0.00,29,deposit,,,USD,corp,0,-131119.19,,,,D0323,2028-07-07,0.00,0,,2021-01-18,time,2.18,0.00,,,
,120253.84,0.38,18,deposit,,,USD,corp,681,-120253.84,,,,D0324,,3.99,1,,2017-10-27,demand,1.35,11.23,volatile,,
,250980.02,0.36,10,deposit,,,USD,retail,467,-250980.02,,,,D0325,,1.68,1,,2018-01-23,demand,1.44,7.74,stable,,
,149445.24,0.34,43,deposit,,,USD,corp,714,-149445.24,,,,D0326,,1.53,1,,2017-06-28,savings,2.56,7.61,stable,,
,145055.21,0.00,35,deposit,,,USD,SME,0,-145055.21,,,,D0327,2027-09-20,0.00,0,,2025-03-19,time,0.27,0.00,,,
,181848.89,0.37,19,deposit,,,USD,SME,429,-181848.89,,,,D0328,,3.53,1,,2016-11-08,savings,2.72,14.45,volatile,,
,233773.54,0.00,17,deposit,,,USD,corp,0,-233773.54,,,,D0329,2027-09-03,0.00,0,,2017-01-01,time,0.59,0.00,,,
,279443.71,0.00,4,deposit,,,USD,corp,0,-279443.71,,,,D0330,2028-08-15,0.00,0,,2023-11-29,time,0.21,0.00,,,
,124319.48,0.00,19,deposit,,,USD,retail,0,-124319.48,,,,D0331,2027-08-09,0.00,0,,2018-10-21,time,2.30,0.00,,,
,215568.96,0.00,17,deposit,,,USD,SME,0,-215568.96,,,,D0332,2026-09-05,0.00,0,,2024-12-11,time,1.70,0.00,,,
,275782.26,0.06,43,deposit,,,USD,retail,204,-275782.26,,,,D0333,,4.62,1,,2017-07-09,savings,0.46,13.74,volatile,,
,122674.30,0.32,39,deposit,,,USD,retail,630,-122674.30,,,,D0334,,6.17,1,,2024-11-10,savings,1.56,5.80,stable,,
,290273.15,0.47,37,deposit,,,USD,retail,333,-290273.15,,,,D0335,,4.96,1,,2023-12-06,savings,3.27,11.16,volatile,,
,144985.66,0.47,31,deposit,,,USD,SME,208,-144985.66,,,,D0336,,1.32,1,,2020-06-19,demand,2.57,7.50,volatile,,
,226449.59,0.31,25,deposit,,,USD,SME,238,-226449.59,,,,D0337,,4.18,1,,2022-07-27,savings,2.61,7.09,volatile,,
,256130.38,0.58,18,deposit,,,USD,SME,532,-256130.38,,,,D0338,,4.66,1,,2022-10-01,demand,2.37,10.13,volatile,,
,125762.38,0.30,22,deposit,,,USD,corp,337,-125762.38,,,,D0339,,5.41,1,,2023-08-15,savings,0.93,9.24,volatile,,
,263032.40,0.42,29,deposit,,,USD,corp,159,-263032.40,,,,D0340,,1.07,1,,2024-08-22,savings,2.37,2.37,stable,,
,256055.60,0.07,39,deposit,,,USD,retail,184,-256055.60,,,,D0341,,1.34,1,,2016-06-08,savings,1.23,9.32,stable,,
,131314.46,0.26,12,deposit,,,USD,corp,669,-131314.46,,,,D0342,,5.82,1,,2024-07-24,demand,2.23,3.59,stable,,
,280298.95,0.00,30,deposit,,,USD,corp,0,-280298.95,,,,D0343,2028-08-02,0.00,0,,2024-12-15,time,0.89,0.00,,,
,118248.95,0.19,4,deposit,,,USD,SME,165,-118248.95,,,,D0344,,2.66,1,,2021-06-13,savings,3.23,1.87,volatile,,
,277000.51,0.09,10,deposit,,,USD,retail,295,-277000.51,,,,D0345,,4.66,1,,2020-04-15,demand,0.90,3.50,volatile,,
,187769.10,0.55,17,deposit,,,USD,corp,355,-187769.10,,,,D0346,,1.62,1,,2019-05-26,demand,1.89,2.02,stable,,
,240706.24,0.41,45,deposit,,,USD,retail,90,-240706.24,,,,D0347,,6.60,1,,2022-10-26,savings,2.72,10.30,stable,,
,199213.47,0.00,46,deposit,,,USD,corp,0,-199213.47,,,,D0348,2028-02-29,0.00,0,,2025-10-06,time,1.15,0.00,,,
,178604.35,0.27,8,deposit,,,USD,SME,161,-178604.35,,,,D0349,,4.24,1,,2018-01-28,savings,3.29,1.05,volatile,,
,186589.16,0.27,30,deposit,,,USD,retail,182,-186589.16,,,,D0350,,3.19,1,,2021-12-29,savings,1.99,12.95,volatile,,
,173372.66,0.00,36,deposit,,,USD,retail,0,-173372.66,,,,D0351,2027-08-05,0.00,0,,2023-07-13,time,2.66,0.00,,,
,274123.97,0.00,45,deposit,,,USD,SME,0,-274123.97,,,,D0352,2028-02-14,0.00,0,,2023-08-31,time,0.14,0.00,,,
,159021.95,0.00,32,deposit,,,USD,SME,0,-159021.95,,,,D0353,2026-07-26,0.00,0,,2018-01-30,time,1.37,0.00,,,
,190105.42,0.00,3,deposit,,,USD,retail,0,-190105.42,,,,D0354,2028-06-03,0.00,0,,2023-09-06,time,0.30,0.00,,,
,136058.63,0.08,2,deposit,,,USD,SME,643,-136058.63,,,,D0355,,4.86,1,,2016-06-13,savings,0.68,8.00,volatile,,
,220655.56,0.27,35,deposit,,,USD,corp,306,-220655.56,,,,D0356,,5.84,1,,2020-08-31,savings,0.13,10.34,stable,,
,221177.27,0.45,16,deposit,,,USD,retail,590,-221177.27,,,,D0357,,4.92,1,,2018-11-15,demand,0.52,7.60,stable,,
,226684.31,0.40,38,deposit,,,USD,retail,404,-226684.31,,,,D0358,,5.92,1,,2018-12-14,demand,2.45,2.36,stable,,
,199716.03,0.38,48,deposit,,,USD,SME,720,-199716.03,,,,D0359,,2.32,1,,2021-01-10,demand,0.22,12.26,volatile,,
,269484.85,0.23,8,deposit,,,USD,retail,308,-269484.85,,,,D0360,,5.59,1,,2022-01-16,demand,2.37,9.30,stable,,
,196106.48,0.35,41,deposit,,,USD,retail,539,-196106.48,,,,D0361,,2.46,1,,2024-04-23,demand,0.96,9.15,volatile,,
,124988.68,0.09,19,deposit,,,USD,corp,97,-124988.68,,,,D0362,,2.08,1,,2018-07-01,demand,2.14,2.25,volatile,,
,178656.30,0.00,10,deposit,,,USD,retail,0,-178656.30,,,,D0363,2028-08-20,0.00,0,,2024-05-20,time,1.46,0.00,,,
,185238.95,0.57,40,deposit,,,USD,SME,715,-185238.95,,,,D0364,,5.15,1,,2017-10-06,savings,2.24,9.35,stable,,
,225843.59,0.05,24,deposit,,,USD,corp,331,-225843.59,,,,D0365,,2.15,1,,2024-09-25,savings,3.33,14.81,volatile,,
,253931.16,0.47,44,deposit,,,USD,retail,303,-253931.16,,,,D0366,,2.66,1,,2016-11-15,demand,3.02,3.71,volatile,,
,154326.79,0.14,17,deposit,,,USD,SME,134,-154326.79,,,,D0367,,1.32,1,,2023-06-16,savings,2.95,6.10,stable,,
,289714.45,0.46,8,deposit,,,USD,corp,640,-289714.45,,,,D0368,,2.06,1,,2020-05-14,demand,1.17,12.00,stable,,
,207851.77,0.00,38,deposit,,,USD,corp,0,-207851.77,,,,D0369,2027-04-15,0.00,0,,2020-10-26,time,0.25,0.00,,,
,112595.33,0.00,15,deposit,,,USD,SME,0,-112595.33,,,,D0370,2027-01-31,0.00,0,,2018-03-20,time,1.14,0.00,,,
,178562.30,0.18,31,deposit,,,USD,retail,512,-178562.30,,,,D0371,,6.22,1,,2023-05-02,demand,2.73,6.26,stable,,
,238696.13,0.17,47,deposit,,,USD,SME,714,-238696.13,,,,D0372,,3.73,1,,2024-04-11,savings,2.05,6.42,stable,,
,196225.26,0.23,30,deposit,,,USD,retail,122,-196225.26,,,,D0373,,5.15,1,,2024-04-10,savings,0.68,1.84,stable,,
,251066.37,0.54,37,deposit,,,USD,retail,708,-251066.37,,,,D0374,,1.94,1,,2018-12-13,savings,1.61,12.12,stable,,
,171571.74,0.52,18,deposit,,,USD,SME,590,-171571.74,,,,D0375,,6.17,1,,2020-06-30,demand,3.40,4.03,volatile,,
,211849.11,0.00,16,deposit,,,USD,retail,0,-211849.11,,,,D0376,2028-05-14,0.00,0,,2016-01-08,time,0.05,0.00,,,
,167495.29,0.00,1,deposit,,,USD,corp,0,-167495.29,,,,D0377,2027-03-20,0.00,0,,2024-02-19,time,1.15,0.00,,,
,158195.73,0.45,7,deposit,,,USD,corp,606,-158195.73,,,,D0378,,1.20,1,,2020-06-06,demand,1.46,8.44,volatile,,
,113782.66,0.43,42,deposit,,,USD,retail,506,-113782.66,,,,D0379,,6.70,1,,2022-06-28,demand,1.58,2.86,stable,,
,217567.70,0.14,30,deposit,,,USD,SME,560,-217567.70,,,,D0380,,6.15,1,,2025-07-14,savings,3.50,11.46,volatile,,
,114371.60,0.39,34,deposit,,,USD,SME,91,-114371.60,,,,D0381,,6.16,1,,2018-01-22,demand,2.70,1.99,volatile,,
,256383.13,0.48,44,deposit,,,USD,corp,172,-256383.13,,,,D0382,,4.72,1,,2025-03-11,savings,0.11,5.70,stable,,
,160103.48,0.25,5,deposit,,,USD,corp,131,-160103.48,,,,D0383,,3.19,1,,2019-07-17,demand,1.27,3.45,volatile,,
,256013.20,0.18,45,deposit,,,USD,corp,206,-256013.20,,,,D0384,,4.89,1,,2017-05-15,demand,1.96,11.32,volatile,,
,194771.30,0.54,23,deposit,,,USD,SME,605,-194771.30,,,,D0385,,5.08,1,,2025-02-04,savings,0.73,4.88,volatile,,
